"Loan reference","Outstanding Scheme Facility Principal2","Outstanding Scheme Facility Principal","Total amount claimed under the Government Guarantee2","Total amount claimed from the DTI","Settled Amount2","Settled Amount","Cumulative Value of All Pre-Claim Limit Realisations2","Cumulative Value of All Pre-Claim Limit Realisations","Cumulative Value of All Post-Claim Limit Realisations2","Cumulative Value of All Post-Claim Limit Realisations"
"4PZKEUX+01",195709.3,195709.3,146781.98,146781.98,146781.98,0,0,0,0,0
"HXY7WGD+01",196296.3,196296.3,147222.22,147222.22,147222.22,147222.22,0,0,0,0
"M5RYECC+01",197916.7,197916.7,148437.53,148437.53,148437.53,0,0,0,0,0
"CUGW2N4+01",200000,200000,150000,150000,150000,0,0,0,0,0
"GQBKA2N+01",201764.72,201764.72,151323.54,151323.54,151323.54,151323.54,0,0,0,0
"PQM4LT6+01",208333.35,208333.35,156250.01,156250.01,156250.01,0,0,0,0,0
"JDPLEVW+01",210000,210000,157500,157500,157500,0,0,0,0,0
"HY6KWJD+01",211083.75,211083.75,158312.81,158312.81,158312.81,0,7500,7500,0,0
"TYPQKTJ+01",216666.72,216666.72,162500.04,162500.04,162500.04,0,0,0,0,0
"3KMH3LQ+01",217238.82,217238.82,162929.11,162929.11,162929.11,162929.11,0,0,0,0
"RP493KE+01",217423.31,217423.31,163067.48,163067.48,163067.48,0,0,0,0,0
"LHD8HBJ+01",222619.2,222619.2,166964.4,166964.4,166964.4,0,0,0,0,0
"GA56Z4G+01",225000.04,225000.04,168750.03,168750.03,168750.03,0,0,0,0,0
"HQMRG9G+01",229715.36,229715.36,172286.52,172286.52,172286.52,0,0,0,0,0
"NZXWAZR+01",230000,230000,172500,172500,172500,0,0,0,0,0
"NB5HX9J+01",235767.1,235767.1,176825.33,176825.33,176825.33,0,0,0,0,0
"A3K4699+01",235900.02,235900.02,176925.01,176925.01,176925.01,176925.01,0,0,0,0
"GKBDNPG+01",237500.02,237500.02,178125.02,178125.02,178125.02,0,0,0,0,0
"U4FMRKF+01",247212.45,247212.45,185409.34,185409.34,185409.34,0,0,0,0,0
"NS6AJ2G+01",249646.1,249646.1,187234.58,187234.58,187234.58,0,0,0,0,0
"732DGMF+01",250000,250000,187500,187500,187500,0,0,0,0,0
"ACJL4YB+01",253592.37,253592.37,190194.27,190194.27,190194.27,0,0,0,0,0
"5ZTC93Y+01",257577.04,257577.04,193182.78,193182.78,193182.78,0,0,0,0,0
"BEWLYPR+01",278882.46,278882.46,209161.84,209161.84,209161.84,0,0,0,0,0
"NM3J59B+01",280000,280000,210000,210000,210000,0,0,0,0,0
"CNU6KVD+01",285000,285000,213750,213750,213750,0,0,0,0,0
"M7F2AG2+01",290292.37,290292.37,217719.27,217719.27,217719.27,217719.27,0,0,0,0
"RCPGQV3+01",292008.46,292008.46,219006.34,219006.34,219006.34,219006.34,0,0,0,0
"Y2RX95X+01",295075,295075,221306.25,221306.25,221306.25,0,0,0,0,0
"SWM2VSK+01",295600,295600,221700,221700,221700,0,0,0,0,0
"6XNEW4A+01",300000,300000,225000,225000,225000,0,0,0,0,0
"TX6ZDYS+01",300000,300000,225000,225000,225000,0,0,0,0,0
"FHNZUJD+01",304050,304050,228037.5,228037.5,228037.5,0,23863.55,23863.55,0,0
"T2XQ7EL+01",331256.81,331256.81,248442.61,248442.61,248442.61,0,0,0,0,0
"HEMJPMG+01",345333.36,345333.36,259000.02,259000.02,259000.02,0,0,0,0,0
"3RCM5ZZ+01",345896.17,345896.17,259422.13,259422.13,259422.13,0,0,0,0,0
"X8KG5PU+01",348702.39,348702.39,261526.79,261526.79,261526.79,0,0,0,0,0
"8GNG5FQ+01",350000,350000,262500,262500,262500,0,0,0,3437.99,3437.99
"X6CMBYH+01",355875.02,355875.02,266906.27,266906.27,266906.27,0,0,0,0,0
"LJTX9CT+01",364860,364860,273645,273645,273645,0,28636.45,28636.45,0,0
"5CXKJDF+01",458917.39,458917.39,344188.04,344188.04,344188.04,0,0,0,0,0
"ZCJB2GQ+01",533334,533334,400000.5,400000.5,400000.5,400000.5,0,0,0,0
"XB4YWJX+01",574264.93,574264.93,430698.69,430698.69,430698.69,430698.69,0,0,0,0
"29H2ECU+01",577777.8,577777.8,433333.35,433333.35,433333.35,433333.35,0,0,0,0
"W2FMBA2+01",654629.64,654629.64,490972.23,490972.23,490972.23,490972.23,0,0,0,0
"FFGDA2G+01",700000,700000,525000,525000,525000,0,0,0,0,0
"7VE85ZV+01",700000,700000,525000,525000,525000,525000,0,0,0,0
"KMRQS76+01",822875.84,822875.84,617156.88,617156.88,617156.88,0,0,0,0,0
"HCWH5SA+01",850000,850000,637500,637500,637500,0,0,0,0,0
"YGWPS7E+01",1000000,1000000,750000,750000,750000,0,0,0,0,0
"T7FDKLC+01",27951.64,0,20963.73,0,0,0,0,0,0,0
"ZNUPTNE+01",18445,18445,13833.75,13833.75,13833.75,13833.75,0,0,0,0
"AQVV3WE+01",18825.26,18825.26,14118.94,14118.94,0,0,0,0,0,0
"QN6TR3C+01",11700,11700,8775,8775,3217.5,0,0,0,0,0
"CWH2FZE+01",28480.45,28480.45,21360.33,21360.33,21360.33,21360.33,0,0,0,0
"CYB36MZ+01",223003.46,223003.46,167252.6,167252.6,102375,0,0,0,0,0
"YP9XRAF+01",13194.52,0,9895.89,0,0,0,0,0,0,0
"YSPH7P8+01",24166.69,0,18125.02,0,0,0,0,0,0,0
"JG5RVDS+01",8333.4,0,6250.05,0,0,0,0,0,0,0
"ZACDU3S+01",18055.53,0,13541.65,0,0,0,0,0,0,0
"9HH3PUA+01",26388.87,0,19791.65,0,0,0,0,0,0,0
"W4C7K5Z+01",20311.73,0,15233.8,15233.8,0,0,0,0,0,0
"9BN366Q+01",18055.6,18055.6,13541.7,13541.7,11585.07,0,0,0,0,0
"XM5NYBC+01",23333.36,23333.36,17500.02,17500.02,17500.02,0,0,0,0,0
"EY67JWS+01",35416.62,35416.62,26562.46,26562.46,26562.46,26562.46,0,0,0,0
"36NQ8DW+01",46875,46875,35156.25,35156.25,35156.25,0,0,0,0,0
"PDC358F+01",88289.19,88289.19,66216.89,66216.89,66216.89,0,0,0,0,0
"C2P2ZEP+01",106166.63,106166.63,79624.97,79624.97,79624.97,0,0,0,0,0
"9UK672T+01",154171.36,154171.36,115628.52,115628.52,86269.28,0,0,0,0,0
"DBWA6WE+01",51322.01,51322.01,38491.5,38491.5,0,0,0,0,0,0
"H9QJCC9+01",250000,250000,187500,187500,0,0,0,0,0,0
"Z6NMKS3+01",150000,150000,112500,112500,0,0,0,0,0,0
"UWFT8CG+01",15000.05,15000.05,11250.04,11250.04,11250.04,0,0,0,0,0
"TJQ9YRS+01",17779.35,17779.35,13334.51,13334.51,13334.51,0,0,0,0,0
"PC8PNZE+01",22904.88,22904.88,17178.66,17178.66,17178.66,0,0,0,0,0
"PFYTPAL+01",29750.03,29750.03,22312.52,22312.52,22312.52,0,0,0,0,0
"JJDAMB3+01",65000,65000,48750,48750,48750,0,0,0,0,0
"3PB95MG+01",98133.38,98133.38,73600.04,73600.04,73600.04,0,0,0,0,0
"7XS33Y7+01",108404.31,108404.31,81303.23,81303.23,81303.23,0,0,0,0,0
"BVGRESL+01",712737,712737,534552.75,534552.75,349779.81,0,0,0,0,0
"Y3Y6ARU+01",1000000,1000000,750000,750000,750000,0,0,0,0,0
