"Loan reference","Outstanding Scheme Facility Principal2","Outstanding Scheme Facility Principal","Total amount claimed under the Government Guarantee2","Total amount claimed from the DTI","Settled Amount2","Settled Amount","Cumulative Value of All Pre-Claim Limit Realisations2","Cumulative Value of All Pre-Claim Limit Realisations","Cumulative Value of All Post-Claim Limit Realisations2","Cumulative Value of All Post-Claim Limit Realisations"
"6BM5CFP+01",20138.92,20138.92,15104.19,15104.19,15104.19,0,0,0,0,0
"VFQE3VP+01",20170.97,20170.97,15128.23,15128.23,15128.23,0,0,0,0,0
"ACQC8DV+01",20202.12,20202.12,15151.59,15151.59,15151.59,0,0,0,0,0
"ZLT9JK2+01",20250,20250,15187.5,15187.5,15187.5,0,0,0,0,0
"YVSWP38+01",20833.54,20833.54,15625.15,15625.15,15625.15,15625.15,0,0,0,0
"NKZKWTE+01",20843.37,20843.37,15632.53,15632.53,15632.53,0,0,0,0,0
"YB6PVBC+01",20858.75,20858.75,15644.06,15644.06,15644.06,0,0,0,0,0
"6R95BZ3+01",21031.66,21031.66,15773.74,15773.74,15773.74,15773.74,0,0,0,0
"YKJKQWC+01",21250.06,21250.06,15937.55,15937.55,15937.55,0,0,0,0,0
"79GESR2+01",21335.18,21335.18,16001.38,16001.38,16001.38,16001.38,0,0,0,0
"34AAYBY+01",21500,21500,16125,16125,16125,0,0,0,0,0
"5Y97DDW+01",21627.79,21627.79,16220.84,16220.84,16220.84,0,0,0,0,0
"KA54S28+01",21655.86,21655.86,16241.89,16241.89,16241.89,0,0,0,0,0
"EVLDF8J+01",21774.46,21774.46,16330.84,16330.84,16330.84,16330.84,0,0,0,0
"CPBHD28+01",21780.18,21780.18,16335.13,16335.13,16335.13,16335.13,0,0,0,0
"AMADFKX+01",21933.32,21933.32,16449.99,16449.99,16449.99,16449.99,0,0,0,0
"BUWPH3Y+01",22059.08,22059.08,16544.31,16544.31,16544.31,0,6335.97,6335.97,0,0
"XC7RN9E+01",22163.18,22163.18,16622.39,16622.39,16622.39,0,0,0,0,0
"QDDGGJY+01",22280,22280,16710,16710,16710,16710,0,0,0,0
"W37HEA3+01",22367,22367,16775.25,16775.25,16775.25,16775.25,0,0,0,0
"HG5K2HA+01",22695.11,22695.11,17021.33,17021.33,17021.33,0,0,0,0,0
"L2FUY5D+01",22716.8,22716.8,17037.6,17037.6,17037.6,0,0,0,0,0
"V4LCT7V+01",22723,22723,17042.25,17042.25,17042.25,0,0,0,0,0
"3SELL65+01",22739.98,22739.98,17054.98,17054.98,17054.98,17054.98,0,0,0,0
"R33V9YF+01",22885.09,22885.09,17163.81,17163.81,17163.81,17163.81,0,0,0,0
"B6K7AHQ+01",22905.04,22905.04,17178.78,17178.78,17178.78,0,0,0,0,0
"6AEB4B4+01",22916.71,22916.71,17187.53,17187.53,17187.53,0,0,0,0,0
